"","From","To","Prob"
"179255","V1607","V1272",1
"179257","V1609","V1272",1
"179321","V1673","V1272",1
"179322","V1674","V1272",1
"179325","V1677","V1272",11
"179326","V1678","V1272",9
"179327","V1679","V1272",2
"179329","V1681","V1272",4
"179330","V1682","V1272",7
"179331","V1683","V1272",4
"179332","V1684","V1272",4
"179333","V1685","V1272",1
"179334","V1686","V1272",2
"179335","V1687","V1272",1
"179336","V1688","V1272",7
"179337","V1689","V1272",3
"179338","V1690","V1272",10
"179339","V1691","V1272",5
"179340","V1692","V1272",9
"179341","V1693","V1272",3
"179460","V1812","V1272",5
"179593","V1945","V1272",2
"179594","V1946","V1272",3
"179597","V1949","V1272",1
"179598","V1950","V1272",1
"179619","V1971","V1272",3
"179620","V1972","V1272",1
"179621","V1973","V1272",1
"179624","V1976","V1272",1
"179626","V1978","V1272",3
"180070","V2422","V1272",1
"180101","V2453","V1272",1
"180120","V2472","V1272",1
"180245","V2597","V1272",2
"186972","V9324","V1272",1
"189722","V12074","V1272",1
"189723","V12075","V1272",1
"189724","V12076","V1272",1
"189725","V12077","V1272",1
"189732","V12084","V1272",1
"190849","V13201","V1272",1
"190857","V13209","V1272",1
"190865","V13217","V1272",1
"190891","V13243","V1272",2
"190907","V13259","V1272",5
"190909","V13261","V1272",1
"190911","V13263","V1272",1
"190913","V13265","V1272",4
"190914","V13266","V1272",4
"190921","V13273","V1272",1
"190924","V13276","V1272",1
"190925","V13277","V1272",3
"190933","V13285","V1272",2
"190941","V13293","V1272",1
"190942","V13294","V1272",4
"190944","V13296","V1272",3
"190945","V13297","V1272",2
"190948","V13300","V1272",1
"190953","V13305","V1272",1
"190954","V13306","V1272",4
"190955","V13307","V1272",2
"190956","V13308","V1272",2
"190957","V13309","V1272",3
"190961","V13313","V1272",2
"190980","V13332","V1272",1
"191001","V13353","V1272",1
"191004","V13356","V1272",1
"191052","V13404","V1272",5
"191055","V13407","V1272",1
"191306","V13658","V1272",2
"191312","V13664","V1272",1
"191328","V13680","V1272",1
"191344","V13696","V1272",2
"193721","V1269","V1273",1
"193726","V1274","V1273",1
"193735","V1283","V1273",2
"193737","V1285","V1273",9
"193738","V1286","V1273",1
"193739","V1287","V1273",1
"193740","V1288","V1273",1
"193743","V1291","V1273",2
"193746","V1294","V1273",4
"193753","V1301","V1273",2
"193755","V1303","V1273",1
"193757","V1305","V1273",2
"193759","V1307","V1273",2
"193761","V1309","V1273",1
"193762","V1310","V1273",4
"193763","V1311","V1273",1
"193764","V1312","V1273",2
"193765","V1313","V1273",2
"193766","V1314","V1273",3
"193767","V1315","V1273",6
"193768","V1316","V1273",1
"193769","V1317","V1273",12
"193772","V1320","V1273",1
"193774","V1322","V1273",2
"193776","V1324","V1273",1
"193778","V1326","V1273",1
"193784","V1332","V1273",3
"193785","V1333","V1273",1
"193786","V1334","V1273",1
"193787","V1335","V1273",2
"193821","V1369","V1273",5
"193822","V1370","V1273",3
"193823","V1371","V1273",4
"193827","V1375","V1273",4
"193828","V1376","V1273",2
"193829","V1377","V1273",2
"193830","V1378","V1273",2
"193832","V1380","V1273",1
"193833","V1381","V1273",4
"193834","V1382","V1273",3
"193835","V1383","V1273",4
"193836","V1384","V1273",1
"193838","V1386","V1273",1
"193839","V1387","V1273",1
"193851","V1399","V1273",2
"193854","V1402","V1273",1
"193855","V1403","V1273",2
"193858","V1406","V1273",1
"193861","V1409","V1273",1
"193863","V1411","V1273",1
"193864","V1412","V1273",1
"193865","V1413","V1273",1
"193868","V1416","V1273",2
"193869","V1417","V1273",2
"193871","V1419","V1273",1
"193872","V1420","V1273",1
"193874","V1422","V1273",1
"193875","V1423","V1273",1
"193880","V1428","V1273",3
"193883","V1431","V1273",3
"193884","V1432","V1273",1
"193885","V1433","V1273",5
"193886","V1434","V1273",2
"193888","V1436","V1273",1
"193890","V1438","V1273",5
"193891","V1439","V1273",1
"193892","V1440","V1273",1
"193894","V1442","V1273",5
"193897","V1445","V1273",2
"193899","V1447","V1273",8
"193902","V1450","V1273",5
"193903","V1451","V1273",6
"193904","V1452","V1273",5
"193906","V1454","V1273",1
"193907","V1455","V1273",1
